id,a_name,b_name,a_score,b_score,season,pday,dt,a_sn,b_sn,uur
4008205,Olympic Charleroi,RSC Anderlecht,0,7,1960,1,1960-09-04,246,35,15:00:00
4008203,Sint-Truidense VV,Standard Luik,0,2,1960,1,1960-09-04,373,16,15:00:00
4008204,KSC Eendracht Aalst,R Antwerp FC,3,2,1960,1,1960-09-04,90,1,15:00:00
4008206,Royal Beerschot AC,Stade Verviétois,1,0,1960,1,1960-09-04,3530,8,15:00:00
4008207,Club Brugge,Union Saint-Gilloise,1,2,1960,1,1960-09-04,3,10,15:00:00
4008208,Daring Club Brussel,K Patro Eisden,2,1,1960,1,1960-09-04,2,3434,15:00:00
4008209,RFC Luik,Association Royale Athlétique Gent,2,1,1960,1,1960-09-04,4,7,15:00:00
4008210,Waterschei SV THOR (- 1988),Lierse SK (- 2018),5,0,1960,1,1960-09-04,553,30,15:00:00
4008212,RSC Anderlecht,RFC Luik,2,3,1960,2,1960-09-11,35,4,15:00:00
4008213,R Antwerp FC,Daring Club Brussel,2,3,1960,2,1960-09-11,1,2,15:00:00
4008214,Association Royale Athlétique Gent,Royal Beerschot AC,3,0,1960,2,1960-09-11,7,3530,15:00:00
4008215,K Patro Eisden,Club Brugge,1,1,1960,2,1960-09-11,3434,3,15:00:00
4008216,Lierse SK (- 2018),Olympic Charleroi,1,0,1960,2,1960-09-11,30,246,15:00:00
4008217,Union Saint-Gilloise,Sint-Truidense VV,3,0,1960,2,1960-09-11,10,373,15:00:00
4008218,Stade Verviétois,Waterschei SV THOR (- 1988),1,3,1960,2,1960-09-11,8,553,15:00:00
4008211,Standard Luik,KSC Eendracht Aalst,3,0,1960,2,1960-09-11,16,90,15:00:00
4008221,Union Saint-Gilloise,R Antwerp FC,0,1,1960,3,1960-09-18,10,1,15:00:00
4008222,Royal Beerschot AC,Lierse SK (- 2018),3,0,1960,3,1960-09-18,3530,30,15:00:00
4008223,Club Brugge,Stade Verviétois,1,1,1960,3,1960-09-18,3,8,15:00:00
4008224,Daring Club Brussel,Association Royale Athlétique Gent,3,1,1960,3,1960-09-18,2,7,15:00:00
4008225,Sint-Truidense VV,K Patro Eisden,2,0,1960,3,1960-09-18,373,3434,15:00:00
4008226,Waterschei SV THOR (- 1988),RFC Luik,0,1,1960,3,1960-09-18,553,4,15:00:00
4008219,Standard Luik,Olympic Charleroi,0,0,1960,3,1960-09-18,16,246,15:00:00
4008220,KSC Eendracht Aalst,RSC Anderlecht,0,0,1960,3,1960-09-18,90,35,15:00:00
4008228,Stade Verviétois,KSC Eendracht Aalst,0,4,1960,4,1960-09-25,8,90,15:00:00
4008230,R Antwerp FC,Club Brugge,0,0,1960,4,1960-09-25,1,3,15:00:00
4008234,RFC Luik,Union Saint-Gilloise,2,1,1960,4,1960-09-25,4,10,15:00:00
4008233,Association Royale Athlétique Gent,Sint-Truidense VV,3,0,1960,4,1960-09-25,7,373,15:00:00
4008231,Olympic Charleroi,Royal Beerschot AC,4,1,1960,4,1960-09-25,246,3530,15:00:00
4008229,RSC Anderlecht,Waterschei SV THOR (- 1988),3,1,1960,4,1960-09-25,35,553,15:00:00
4008227,K Patro Eisden,Standard Luik,0,3,1960,4,1960-09-25,3434,16,15:00:00
4008232,Lierse SK (- 2018),Daring Club Brussel,3,4,1960,4,1960-09-25,30,2,15:00:00
4008242,Association Royale Athlétique Gent,Olympic Charleroi,1,1,1960,5,1960-10-09,7,246,15:00:00
4008240,Daring Club Brussel,RFC Luik,1,1,1960,5,1960-10-09,2,4,15:00:00
4008239,Club Brugge,Waterschei SV THOR (- 1988),0,0,1960,5,1960-10-09,3,553,15:00:00
4008241,K Patro Eisden,Lierse SK (- 2018),0,2,1960,5,1960-10-09,3434,30,15:00:00
4008238,Royal Beerschot AC,R Antwerp FC,2,1,1960,5,1960-10-09,3530,1,15:00:00
4008237,Sint-Truidense VV,RSC Anderlecht,2,2,1960,5,1960-10-09,373,35,15:00:00
4008236,Union Saint-Gilloise,KSC Eendracht Aalst,5,2,1960,5,1960-10-09,10,90,15:00:00
4008235,Standard Luik,Stade Verviétois,5,2,1960,5,1960-10-09,16,8,15:00:00
4008250,Stade Verviétois,Union Saint-Gilloise,1,0,1960,6,1960-10-16,8,10,15:00:00
4008249,Waterschei SV THOR (- 1988),Association Royale Athlétique Gent,2,2,1960,6,1960-10-16,553,7,15:00:00
4008248,Olympic Charleroi,Daring Club Brussel,2,1,1960,6,1960-10-16,246,2,15:00:00
4008247,Club Brugge,Royal Beerschot AC,3,2,1960,6,1960-10-16,3,3530,15:00:00
4008246,R Antwerp FC,K Patro Eisden,2,2,1960,6,1960-10-16,1,3434,15:00:00
4008245,RSC Anderlecht,Lierse SK (- 2018),4,0,1960,6,1960-10-16,35,30,15:00:00
4008244,KSC Eendracht Aalst,Sint-Truidense VV,3,0,1960,6,1960-10-16,90,373,15:00:00
4008243,RFC Luik,Standard Luik,0,0,1960,6,1960-10-16,4,16,15:00:00
4008258,Union Saint-Gilloise,Olympic Charleroi,1,0,1960,7,1960-10-23,10,246,15:00:00
4008252,KSC Eendracht Aalst,Club Brugge,3,1,1960,7,1960-10-23,90,3,15:00:00
4008253,R Antwerp FC,Stade Verviétois,4,1,1960,7,1960-10-23,1,8,15:00:00
4008254,Daring Club Brussel,Royal Beerschot AC,0,0,1960,7,1960-10-23,2,3530,15:00:00
4008256,Lierse SK (- 2018),Association Royale Athlétique Gent,1,0,1960,7,1960-10-23,30,7,15:00:00
4008257,Sint-Truidense VV,RFC Luik,1,0,1960,7,1960-10-23,373,4,15:00:00
4008251,Standard Luik,RSC Anderlecht,2,1,1960,7,1960-10-23,16,35,15:00:00
4008255,K Patro Eisden,Waterschei SV THOR (- 1988),2,1,1960,7,1960-10-23,3434,553,15:00:00
4008259,Royal Beerschot AC,Standard Luik,1,2,1960,8,1960-11-06,3530,16,15:00:00
4008260,Association Royale Athlétique Gent,KSC Eendracht Aalst,1,2,1960,8,1960-11-06,7,90,15:00:00
4008261,RSC Anderlecht,Stade Verviétois,2,2,1960,8,1960-11-06,35,8,15:00:00
4008262,Waterschei SV THOR (- 1988),R Antwerp FC,3,1,1960,8,1960-11-06,553,1,15:00:00
4008263,RFC Luik,Club Brugge,1,1,1960,8,1960-11-06,4,3,15:00:00
4008264,Daring Club Brussel,Union Saint-Gilloise,1,3,1960,8,1960-11-06,2,10,15:00:00
4008265,Olympic Charleroi,K Patro Eisden,1,0,1960,8,1960-11-06,246,3434,15:00:00
4008266,Lierse SK (- 2018),Sint-Truidense VV,2,0,1960,8,1960-11-06,30,373,15:00:00
4008268,KSC Eendracht Aalst,Waterschei SV THOR (- 1988),3,1,1960,9,1960-11-13,90,553,15:00:00
4008272,Club Brugge,Daring Club Brussel,4,2,1960,9,1960-11-13,3,2,15:00:00
4008271,K Patro Eisden,Royal Beerschot AC,0,1,1960,9,1960-11-13,3434,3530,15:00:00
4008270,R Antwerp FC,Association Royale Athlétique Gent,1,3,1960,9,1960-11-13,1,7,15:00:00
4008269,Union Saint-Gilloise,RSC Anderlecht,0,2,1960,9,1960-11-13,10,35,15:00:00
4008274,Sint-Truidense VV,Olympic Charleroi,1,1,1960,9,1960-11-13,373,246,15:00:00
4008267,Standard Luik,Lierse SK (- 2018),2,1,1960,9,1960-11-13,16,30,15:00:00
4008273,Stade Verviétois,RFC Luik,0,1,1960,9,1960-11-13,8,4,15:00:00
4008280,RFC Luik,K Patro Eisden,3,1,1960,10,1960-11-27,4,3434,15:00:00
4008279,Daring Club Brussel,Stade Verviétois,2,0,1960,10,1960-11-27,2,8,15:00:00
4008278,Olympic Charleroi,Club Brugge,3,0,1960,10,1960-11-27,246,3,15:00:00
4008277,RSC Anderlecht,R Antwerp FC,3,2,1960,10,1960-11-27,35,1,15:00:00
4008276,Royal Beerschot AC,KSC Eendracht Aalst,9,2,1960,10,1960-11-27,3530,90,15:00:00
4008275,Association Royale Athlétique Gent,Standard Luik,2,1,1960,10,1960-11-27,7,16,15:00:00
4008282,Waterschei SV THOR (- 1988),Sint-Truidense VV,2,1,1960,10,1960-11-27,553,373,15:00:00
4008281,Lierse SK (- 2018),Union Saint-Gilloise,3,2,1960,10,1960-11-27,30,10,15:00:00
4008283,KSC Eendracht Aalst,K Patro Eisden,2,0,1960,11,1960-12-04,90,3434,14:45:00
4008284,RFC Luik,Royal Beerschot AC,3,2,1960,11,1960-12-04,4,3530,14:45:00
4008290,Club Brugge,Association Royale Athlétique Gent,0,1,1960,12,1960-12-11,3,7,14:45:00
