,season,pday,count
0,1960,1,8
1,1960,2,8
2,1960,3,8
3,1960,4,8
4,1960,5,8
5,1960,6,8
6,1960,7,8
7,1960,8,8
8,1960,9,8
9,1960,10,8
10,1960,11,8
11,1960,12,8
12,1960,13,8
13,1960,14,8
14,1960,15,8
15,1960,16,8
16,1960,17,8
17,1960,18,8
18,1960,19,8
19,1960,20,8
20,1960,21,8
21,1960,22,8
22,1960,23,8
23,1960,24,8
24,1960,25,8
25,1960,26,8
26,1960,27,8
27,1960,28,8
28,1960,29,8
29,1960,30,8
30,1961,1,8
31,1961,2,8
32,1961,3,8
33,1961,4,8
34,1961,5,8
35,1961,6,8
36,1961,7,8
37,1961,8,8
38,1961,9,8
39,1961,10,8
40,1961,11,8
41,1961,12,8
42,1961,13,8
43,1961,14,8
44,1961,15,8
45,1961,16,8
46,1961,17,8
47,1961,18,8
48,1961,19,8
49,1961,20,8
50,1961,21,8
51,1961,22,8
52,1961,23,8
53,1961,24,8
54,1961,25,8
55,1961,26,8
56,1961,27,8
57,1961,28,8
58,1961,29,8
59,1961,30,8
60,1962,1,8
61,1962,2,8
62,1962,3,8
63,1962,4,8
64,1962,5,8
65,1962,6,8
66,1962,7,8
67,1962,8,8
68,1962,9,8
69,1962,10,8
70,1962,11,8
71,1962,12,8
72,1962,13,8
73,1962,14,8
74,1962,15,8
75,1962,16,8
76,1962,17,8
77,1962,18,8
78,1962,19,8
79,1962,20,8
80,1962,21,8
81,1962,22,8
82,1962,23,8
83,1962,24,8
84,1962,25,8
85,1962,26,8
86,1962,27,8
87,1962,28,8
88,1962,29,8
89,1962,30,8
90,1963,1,8
91,1963,2,8
92,1963,3,8
93,1963,4,8
94,1963,5,8
95,1963,6,8
96,1963,7,8
97,1963,8,8
98,1963,9,8
99,1963,10,8
100,1963,11,8
101,1963,12,8
102,1963,13,8
103,1963,14,8
104,1963,15,8
105,1963,16,8
106,1963,17,8
107,1963,18,8
108,1963,19,8
109,1963,20,8
110,1963,21,8
111,1963,22,8
112,1963,23,8
113,1963,24,8
114,1963,25,8
115,1963,26,8
116,1963,27,8
117,1963,28,8
118,1963,29,8
119,1963,30,8
120,1964,1,8
121,1964,2,8
122,1964,3,8
123,1964,4,8
124,1964,5,8
125,1964,6,8
126,1964,7,8
127,1964,8,8
128,1964,9,8
129,1964,10,8
130,1964,11,8
131,1964,12,8
132,1964,13,8
133,1964,14,8
134,1964,15,8
135,1964,16,8
136,1964,17,8
137,1964,18,8
138,1964,19,8
139,1964,20,8
140,1964,21,8
141,1964,22,8
142,1964,23,8
143,1964,24,8
144,1964,25,8
145,1964,26,8
146,1964,27,8
147,1964,28,8
148,1964,29,8
149,1964,30,8
150,1965,1,8
151,1965,2,8
152,1965,3,8
153,1965,4,8
154,1965,5,8
155,1965,6,8
156,1965,7,8
157,1965,8,8
158,1965,9,8
159,1965,10,8
160,1965,11,8
161,1965,12,8
162,1965,13,8
163,1965,14,8
164,1965,15,8
165,1965,16,8
166,1965,17,8
167,1965,18,8
168,1965,19,8
169,1965,20,8
170,1965,21,8
171,1965,22,8
172,1965,23,8
173,1965,24,8
174,1965,25,8
175,1965,26,8
176,1965,27,8
177,1965,28,8
178,1965,29,8
179,1965,30,8
180,1966,1,8
181,1966,2,8
182,1966,3,8
183,1966,4,8
184,1966,5,8
185,1966,6,8
186,1966,7,8
187,1966,8,8
188,1966,9,8
189,1966,10,8
190,1966,11,8
191,1966,12,8
192,1966,13,8
193,1966,14,8
194,1966,15,8
195,1966,16,8
196,1966,17,8
197,1966,18,8
198,1966,19,8
199,1966,20,8
200,1966,21,8
201,1966,22,8
202,1966,23,8
203,1966,24,8
204,1966,25,8
205,1966,26,8
206,1966,27,8
207,1966,28,8
208,1966,29,8
209,1966,30,8
210,1967,1,8
211,1967,2,8
