id,a_name,b_name,a_score,b_score,season,pday,dt,a_sn,b_sn
4008205,Olympic Charleroi,RSC Anderlecht,0,7,1960,1,1960-09-04 15:00:00,246,35
4008203,Sint-Truidense VV,Standard Luik,0,2,1960,1,1960-09-04 15:00:00,373,16
4008204,KSC Eendracht Aalst,R Antwerp FC,3,2,1960,1,1960-09-04 15:00:00,90,1
4008206,Royal Beerschot AC,Stade Verviétois,1,0,1960,1,1960-09-04 15:00:00,3530,8
4008207,Club Brugge,Union Saint-Gilloise,1,2,1960,1,1960-09-04 15:00:00,3,10
4008208,Daring Club Brussel,K Patro Eisden,2,1,1960,1,1960-09-04 15:00:00,2,3434
4008209,RFC Luik,Association Royale Athlétique Gent,2,1,1960,1,1960-09-04 15:00:00,4,7
4008210,Waterschei SV THOR (- 1988),Lierse SK (- 2018),5,0,1960,1,1960-09-04 15:00:00,553,30
4008212,RSC Anderlecht,RFC Luik,2,3,1960,2,1960-09-11 15:00:00,35,4
4008213,R Antwerp FC,Daring Club Brussel,2,3,1960,2,1960-09-11 15:00:00,1,2
4008214,Association Royale Athlétique Gent,Royal Beerschot AC,3,0,1960,2,1960-09-11 15:00:00,7,3530
4008215,K Patro Eisden,Club Brugge,1,1,1960,2,1960-09-11 15:00:00,3434,3
4008216,Lierse SK (- 2018),Olympic Charleroi,1,0,1960,2,1960-09-11 15:00:00,30,246
4008217,Union Saint-Gilloise,Sint-Truidense VV,3,0,1960,2,1960-09-11 15:00:00,10,373
4008218,Stade Verviétois,Waterschei SV THOR (- 1988),1,3,1960,2,1960-09-11 15:00:00,8,553
4008211,Standard Luik,KSC Eendracht Aalst,3,0,1960,2,1960-09-11 15:00:00,16,90
4008221,Union Saint-Gilloise,R Antwerp FC,0,1,1960,3,1960-09-18 15:00:00,10,1
4008222,Royal Beerschot AC,Lierse SK (- 2018),3,0,1960,3,1960-09-18 15:00:00,3530,30
4008223,Club Brugge,Stade Verviétois,1,1,1960,3,1960-09-18 15:00:00,3,8
4008224,Daring Club Brussel,Association Royale Athlétique Gent,3,1,1960,3,1960-09-18 15:00:00,2,7
4008225,Sint-Truidense VV,K Patro Eisden,2,0,1960,3,1960-09-18 15:00:00,373,3434
4008226,Waterschei SV THOR (- 1988),RFC Luik,0,1,1960,3,1960-09-18 15:00:00,553,4
4008219,Standard Luik,Olympic Charleroi,0,0,1960,3,1960-09-18 15:00:00,16,246
4008220,KSC Eendracht Aalst,RSC Anderlecht,0,0,1960,3,1960-09-18 15:00:00,90,35
4008228,Stade Verviétois,KSC Eendracht Aalst,0,4,1960,4,1960-09-25 15:00:00,8,90
4008230,R Antwerp FC,Club Brugge,0,0,1960,4,1960-09-25 15:00:00,1,3
4008234,RFC Luik,Union Saint-Gilloise,2,1,1960,4,1960-09-25 15:00:00,4,10
4008233,Association Royale Athlétique Gent,Sint-Truidense VV,3,0,1960,4,1960-09-25 15:00:00,7,373
4008231,Olympic Charleroi,Royal Beerschot AC,4,1,1960,4,1960-09-25 15:00:00,246,3530
4008229,RSC Anderlecht,Waterschei SV THOR (- 1988),3,1,1960,4,1960-09-25 15:00:00,35,553
4008227,K Patro Eisden,Standard Luik,0,3,1960,4,1960-09-25 15:00:00,3434,16
4008232,Lierse SK (- 2018),Daring Club Brussel,3,4,1960,4,1960-09-25 15:00:00,30,2
4008242,Association Royale Athlétique Gent,Olympic Charleroi,1,1,1960,5,1960-10-09 15:00:00,7,246
4008240,Daring Club Brussel,RFC Luik,1,1,1960,5,1960-10-09 15:00:00,2,4
4008239,Club Brugge,Waterschei SV THOR (- 1988),0,0,1960,5,1960-10-09 15:00:00,3,553
4008241,K Patro Eisden,Lierse SK (- 2018),0,2,1960,5,1960-10-09 15:00:00,3434,30
4008238,Royal Beerschot AC,R Antwerp FC,2,1,1960,5,1960-10-09 15:00:00,3530,1
4008237,Sint-Truidense VV,RSC Anderlecht,2,2,1960,5,1960-10-09 15:00:00,373,35
4008236,Union Saint-Gilloise,KSC Eendracht Aalst,5,2,1960,5,1960-10-09 15:00:00,10,90
4008235,Standard Luik,Stade Verviétois,5,2,1960,5,1960-10-09 15:00:00,16,8
4008250,Stade Verviétois,Union Saint-Gilloise,1,0,1960,6,1960-10-16 15:00:00,8,10
4008249,Waterschei SV THOR (- 1988),Association Royale Athlétique Gent,2,2,1960,6,1960-10-16 15:00:00,553,7
4008248,Olympic Charleroi,Daring Club Brussel,2,1,1960,6,1960-10-16 15:00:00,246,2
4008247,Club Brugge,Royal Beerschot AC,3,2,1960,6,1960-10-16 15:00:00,3,3530
4008246,R Antwerp FC,K Patro Eisden,2,2,1960,6,1960-10-16 15:00:00,1,3434
4008245,RSC Anderlecht,Lierse SK (- 2018),4,0,1960,6,1960-10-16 15:00:00,35,30
4008244,KSC Eendracht Aalst,Sint-Truidense VV,3,0,1960,6,1960-10-16 15:00:00,90,373
4008243,RFC Luik,Standard Luik,0,0,1960,6,1960-10-16 15:00:00,4,16
4008258,Union Saint-Gilloise,Olympic Charleroi,1,0,1960,7,1960-10-23 15:00:00,10,246
4008252,KSC Eendracht Aalst,Club Brugge,3,1,1960,7,1960-10-23 15:00:00,90,3
4008253,R Antwerp FC,Stade Verviétois,4,1,1960,7,1960-10-23 15:00:00,1,8
4008254,Daring Club Brussel,Royal Beerschot AC,0,0,1960,7,1960-10-23 15:00:00,2,3530
4008256,Lierse SK (- 2018),Association Royale Athlétique Gent,1,0,1960,7,1960-10-23 15:00:00,30,7
4008257,Sint-Truidense VV,RFC Luik,1,0,1960,7,1960-10-23 15:00:00,373,4
4008251,Standard Luik,RSC Anderlecht,2,1,1960,7,1960-10-23 15:00:00,16,35
4008255,K Patro Eisden,Waterschei SV THOR (- 1988),2,1,1960,7,1960-10-23 15:00:00,3434,553
4008259,Royal Beerschot AC,Standard Luik,1,2,1960,8,1960-11-06 15:00:00,3530,16
4008260,Association Royale Athlétique Gent,KSC Eendracht Aalst,1,2,1960,8,1960-11-06 15:00:00,7,90
4008261,RSC Anderlecht,Stade Verviétois,2,2,1960,8,1960-11-06 15:00:00,35,8
4008262,Waterschei SV THOR (- 1988),R Antwerp FC,3,1,1960,8,1960-11-06 15:00:00,553,1
4008263,RFC Luik,Club Brugge,1,1,1960,8,1960-11-06 15:00:00,4,3
4008264,Daring Club Brussel,Union Saint-Gilloise,1,3,1960,8,1960-11-06 15:00:00,2,10
4008265,Olympic Charleroi,K Patro Eisden,1,0,1960,8,1960-11-06 15:00:00,246,3434
4008266,Lierse SK (- 2018),Sint-Truidense VV,2,0,1960,8,1960-11-06 15:00:00,30,373
4008268,KSC Eendracht Aalst,Waterschei SV THOR (- 1988),3,1,1960,9,1960-11-13 15:00:00,90,553
4008272,Club Brugge,Daring Club Brussel,4,2,1960,9,1960-11-13 15:00:00,3,2
